"","diff","lwr","upr","p adj","significant"
"2007-2006",20.7214000000017,-18.0437247659842,59.4865247659877,0.845723355415506,"Similar"
"2008-2006",14.1049896249708,-24.6336471811297,52.8436264310713,0.989750278973688,"Similar"
"2010-2006",-1.31461917808292,-40.0797439440689,37.450505587903,1,"Similar"
"2011-2006",-11.6560273972643,-50.4211521632503,27.1090973687216,0.998048073897877,"Similar"
"2008-2007",-6.61641037503091,-45.3550471811314,32.1222264310696,0.999992397788298,"Similar"
"2010-2007",-22.0360191780846,-60.8011439440706,16.7291055879013,0.784761888196177,"Similar"
"2011-2007",-32.377427397266,-71.142552163252,6.38769736871988,0.211257147175671,"Similar"
"2014-2007",20.6382849315037,-18.1268398344823,59.4034096974896,0.849212488680841,"Similar"
"2015-2007",23.6512767123254,-15.1138480536605,62.4164014783113,0.697076701333082,"Similar"
"2016-2007",21.6799776031112,-17.0586592029893,60.4186144092117,0.801587607638257,"Similar"
"2017-2007",22.2041709315038,-16.5609538344822,60.9692956974897,0.77622962507343,"Similar"
"2010-2008",-15.4196088030537,-54.1582456091543,23.3190280030468,0.97909438377402,"Similar"
"2011-2008",-25.7610170222351,-64.4996538283357,12.9776197838654,0.568494248798681,"Similar"
"2014-2008",27.2546953065346,-11.4839414995659,65.9933321126351,0.476299390252316,"Similar"
"2015-2008",30.2676870873563,-8.47094971874422,69.0063238934568,0.306195648755012,"Similar"
"2016-2008",28.2963879781421,-10.4157427442487,67.0085187005329,0.412952963757105,"Similar"
"2017-2008",28.8205813065347,-9.91805549956585,67.5592181126352,0.383943444970503,"Similar"
"2012-2009",23.4365338872533,-15.3021029188472,62.1751706933538,0.70848149764703,"Similar"
"2013-2009",9.8614383561569,-28.903686409829,48.6265631221428,0.99958987460028,"Similar"
"2011-2010",-10.3414082191814,-49.1065329851673,28.4237165468045,0.999355361937133,"Similar"
"2013-2012",-13.5750955310964,-52.3137323371969,25.1635412750041,0.992548438908428,"Similar"
"2015-2014",3.01299178082172,-35.7521329851642,41.7781165468077,0.999999998287789,"Similar"
"2016-2014",1.04169267160751,-37.696944134493,39.780329477708,1,"Similar"
"2017-2014",1.56588600000009,-37.1992387659858,40.331010765986,0.999999999998826,"Similar"
"2016-2015",-1.97129910921421,-40.7099359153147,36.7673376968863,0.999999999983134,"Similar"
"2017-2015",-1.44710578082163,-40.2122305468076,37.3180189851643,0.999999999999557,"Similar"
"2017-2016",0.524193328392585,-38.2144434777079,39.2628301344931,1,"Similar"
